Nr wiersza;Nr zamówienia;Data zamówienia;Priorytet zamówienia;Wielkoœæ zamówienia;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Nr klienta;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Cena jednostkowa;Rabat procentowy;Mar¿a podstawowa;Koszt dostawy;Zysk
1006;PL-2012-007335;2018-05-29;niski;62;lotniczy standardowy;ma³e pude³ko;korporacja;K02238;urz¹dzenia techniczne;telefony;T60;18579.995;335.965;0.01;0.56;17.15;4187.547
1040;PL-2012-007619;2018-10-08;nieokreœlony;14;lotniczy standardowy;ma³e opakowanie;osoba fizyczna;K02882;urz¹dzenia techniczne;akcesoria komputerowe;Maxell Pro 80 Minute CD-R, 10/Pack;868.35;61.18;0.02;0.45;6.965;-113.9544
1084;PL-2012-008000;2018-09-19;niski;18;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01733;artyku³y biurowe;segregatory;GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb;940.275;52.535;0.08;0.39;29.4;-93.82275
1085;PL-2012-008000;2018-09-19;niski;2;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01733;artyku³y biurowe;segregatory;Wilson Jones Turn Tabs Binder Tool for Ring Binders;70.98;16.87;0.04;0.39;18.34;-26.6455
1086;PL-2012-008001;2018-11-19;wysoki;51;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K00640;artyku³y biurowe;papier;"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""";448.63;7.63;0.1;0.38;24.815;-283.78
1087;PL-2012-008001;2018-11-19;wysoki;160;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K00640;artyku³y biurowe;teczki;Acco Perma® 3000 Stacking Storage Drawers;12626.46;73.43;0.01;0.66;18.97;392.77
1106;PL-2012-008131;2018-05-03;krytyczny;35;lotniczy standardowy;ma³e opakowanie;biuro w domu;K01488;urz¹dzenia techniczne;akcesoria komputerowe;Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS;3661.175;104.615;0.01;0.5;6.965;669.515
112;PL-2012-000738;2018-03-01;nieokreœlony;7;lotniczy standardowy;ma³e pude³ko;korporacja;K00607;artyku³y biurowe;przyrz¹dy;Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection;1961.785;283.43;0.04;0.59;15.75;114.1
113;PL-2012-000738;2018-03-01;nieokreœlony;31;lotniczy standardowy;ma³e pude³ko;korporacja;K00607;artyku³y biurowe;papier;Xerox 23;664.825;22.68;0.08;0.37;17.99;-198.38
119;PL-2012-000773;2018-09-25;œredni;69;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01488;urz¹dzenia techniczne;telefony;Talkabout T8367;13163.92;230.965;0.06;0.56;31.465;1137.2445
1359;PL-2012-009895;2018-04-20;niski;9;lotniczy standardowy;woreczek foliowy;ma³a firma;K00021;artyku³y biurowe;akcesoria piœmiennicze;Dixon My First Ticonderoga Pencil, #2;191.765;20.475;0.05;0.56;7.945;-23.87
1390;PL-2012-010080;2018-02-12;niski;20;lotniczy standardowy;ma³e pude³ko;korporacja;K01413;urz¹dzenia techniczne;akcesoria komputerowe;Fellowes 17-key keypad for PS/2 interface;2229.64;107.555;0;0.75;14;-93.905
1391;PL-2012-010081;2018-08-07;nieokreœlony;88;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02920;meble;wyposa¿enie wnêtrza;"Seth Thomas 8 1/2"" Cubicle Clock";6652.975;70.98;0.02;0.53;23.38;857.5
1399;PL-2012-010147;2018-10-09;wysoki;40;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01630;artyku³y biurowe;segregatory;Storex DuraTech Recycled Plastic Frosted Binders;615.685;14.84;0.04;0.35;18.935;-306.222
1413;PL-2012-010247;2018-01-10;œredni;21;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01129;artyku³y biurowe;papier;Xerox 1952;390.81;17.43;0.06;0.38;19.215;-298.648
1414;PL-2012-010247;2018-01-10;œredni;24;lotniczy standardowy;ma³e opakowanie;biuro w domu;K01129;urz¹dzenia techniczne;akcesoria komputerowe;Memorex Slim 80 Minute CD-R, 10/Pack;811.825;34.23;0.03;0.43;6.965;61.796
1439;PL-2012-010373;2018-06-25;krytyczny;42;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K02882;artyku³y biurowe;papier;Xerox 21;1014.09;22.68;0.03;0.37;23.1;-333.90315
1442;PL-2012-010435;2018-08-10;œredni;68;lotniczy standardowy;ma³e opakowanie;korporacja;K01280;artyku³y biurowe;akcesoria piœmiennicze;Boston KS Multi-Size Manual Pencil Sharpener;5456.78;80.465;0.06;0.57;31.465;-50.085
1497;PL-2012-010819;2018-08-24;krytyczny;63;lotniczy standardowy;ma³e pude³ko;ma³a firma;K02382;artyku³y biurowe;papier;Xerox 1905;1470.35;22.68;0.06;0.37;33.39;-690.865
1511;PL-2012-010919;2018-03-27;wysoki;42;lotniczy standardowy;du¿e pude³ko;korporacja;K02842;artyku³y biurowe;teczki;Tennsco Industrial Shelving;7143.325;171.185;0.07;0.83;122.5;-4311.545
1590;PL-2012-011460;2018-08-24;wysoki;54;lotniczy standardowy;ma³e pude³ko;biuro w domu;K00563;artyku³y biurowe;etykiety;Avery 487;644.105;12.915;0.09;0.38;1.75;132.265
1628;PL-2012-011779;2018-06-29;nieokreœlony;68;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K00102;artyku³y biurowe;papier;Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”;1645.385;24.08;0.04;0.39;7;303.1
1629;PL-2012-011779;2018-06-29;nieokreœlony;65;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K00102;urz¹dzenia techniczne;akcesoria komputerowe;Micro Innovations 104 Keyboard;2396.31;38.395;0.09;0.64;22.75;-603.19
1768;PL-2012-012643;2018-03-19;niski;22;lotniczy standardowy;woreczek foliowy;ma³a firma;K00181;artyku³y biurowe;papier;White GlueTop Scratch Pads;1209.915;52.64;0.02;0.39;6.895;501.305
18001;PL-2012-085820;2018-10-13;niski;3;lotniczy standardowy;du¿e pude³ko;ma³a firma;K02409;artyku³y biurowe;teczki;Eldon Base for stackable storage shelf, platinum;457.695;136.29;0.04;0.8;122.5;-806.085
1801;PL-2012-012900;2018-05-03;wysoki;73;lotniczy standardowy;ma³e opakowanie;korporacja;K01999;meble;wyposa¿enie wnêtrza;Nu-Dell Executive Frame;3204.6;44.24;0.08;0.48;17.43;350.14
18014;PL-2012-085882;2018-12-17;niski;22;lotniczy standardowy;woreczek foliowy;biuro w domu;K01496;artyku³y biurowe;spinacze i zszywki;Super Bands, 12/Pack;144.445;6.51;0.03;0.82;9.03;-187.25
18015;PL-2012-085882;2018-12-17;niski;21;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01496;urz¹dzenia techniczne;telefony;3285;12470.29;720.965;0.05;0.59;20.965;8604.5001
18017;PL-2012-085907;2018-01-28;œredni;7;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K00810;artyku³y biurowe;etykiety;Avery 498;71.225;10.115;0.03;0.38;1.75;49.14525
1802;PL-2012-012900;2018-05-03;wysoki;26;l¹dowy;kontener;korporacja;K01999;urz¹dzenia techniczne;urz¹dzenia biurowe;Okidata ML184 Turbo Dot Matrix Printers;20708.625;1071.49;0.08;0.56;92.855;1078.77
18022;PL-2012-085941;2018-06-10;œredni;10;lotniczy standardowy;œrednie pude³ko;osoba fizyczna;K01188;urz¹dzenia techniczne;telefony;Bell Sonecor JB700 Caller ID;249.935;27.965;0.03;0.6;17.605;-241.3488
18023;PL-2012-085941;2018-06-10;œredni;11;l¹dowy;wielkie pud³o;osoba fizyczna;K01187;meble;szafki;O'Sullivan Elevations Bookcase, Cherry Finish;5148.29;458.43;0.05;0.69;191.59;-1690.64
18027;PL-2012-085994;2018-08-07;krytyczny;6;lotniczy standardowy;œrednie pude³ko;osoba fizyczna;K01820;artyku³y biurowe;teczki;Eldon Simplefile® Box Office®;262.325;43.54;0.06;0.57;21.945;-67.4128
