Nr wiersza;Nr zamówienia;Data zamówienia;Priorytet zamówienia;Wielkoœæ zamówienia;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Nr klienta;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Cena jednostkowa;Rabat procentowy;Mar¿a podstawowa;Koszt dostawy;Zysk
1008;PL-2011-007364;2017-05-08;wysoki;22;lotniczy standardowy;ma³e pude³ko;korporacja;K02189;artyku³y biurowe;koperty;Brown Kraft Recycled Envelopes;1336.685;59.43;0.09;0.35;43.365;-169.995
1041;PL-2011-007623;2017-10-28;krytyczny;32;lotniczy standardowy;du¿e pude³ko;korporacja;K03011;artyku³y biurowe;przyrz¹dy;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;33969.11;1052.275;0.03;0.52;85.715;4488.736
1042;PL-2011-007623;2017-10-28;krytyczny;67;lotniczy standardowy;ma³e pude³ko;korporacja;K03011;urz¹dzenia techniczne;akcesoria komputerowe;US Robotics 56K V.92 Internal PCI Faxmodem;11366.39;174.965;0.06;0.45;69.965;60.2
1043;PL-2011-007623;2017-10-28;krytyczny;58;lotniczy standardowy;ma³e pude³ko;korporacja;K03011;artyku³y biurowe;papier;Xerox 1941;19539.205;366.975;0.1;0.37;16.275;4144.42
106;PL-2011-000646;2017-11-21;wysoki;61;lotniczy standardowy;ma³e opakowanie;ma³a firma;K01106;artyku³y biurowe;no¿yczki i linijki;Acme® Forged Steel Scissors with Black Enamel Handles;2054.36;32.585;0.01;0.56;13.93;-38.15
1074;PL-2011-007909;2017-01-03;wysoki;29;lotniczy standardowy;woreczek foliowy;biuro w domu;K00117;artyku³y biurowe;akcesoria piœmiennicze;Dixon Prang® Watercolor Pencils, 10-Color Set with Brush;427.805;14.91;0.03;0.44;4.2;34.37
1115;PL-2011-008165;2017-10-15;niski;63;lotniczy standardowy;ma³e pude³ko;korporacja;K00553;artyku³y biurowe;papier;Xerox 1922;1155.735;17.43;0.01;0.36;26.04;-628.572
1128;PL-2011-008257;2017-03-22;niski;18;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K00949;artyku³y biurowe;papier;Xerox 1910;3084.62;168.14;0.02;0.37;17.815;1307.845
1147;PL-2011-008353;2017-05-15;œredni;23;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K00491;artyku³y biurowe;akcesoria piœmiennicze;Newell 343;233.45;10.29;0.08;0.58;3.36;-7.42
1225;PL-2011-008994;2017-04-07;niski;36;lotniczy standardowy;ma³e pude³ko;korporacja;K00698;urz¹dzenia techniczne;akcesoria komputerowe;Keytronic Designer 104- Key Black Keyboard;4981.725;141.68;0.1;0.77;69.965;-2031.12
1279;PL-2011-009285;2017-01-02;krytyczny;3;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K00949;artyku³y biurowe;segregatory;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";436.835;143.43;0.06;0.36;10.465;-66.8472
1311;PL-2011-009606;2017-07-27;nieokreœlony;47;lotniczy standardowy;ma³e pude³ko;ma³a firma;K00898;artyku³y biurowe;etykiety;Round Specialty Laser Printer Labels;2080.54;43.855;0.02;0.38;1.715;921.9
1312;PL-2011-009606;2017-07-27;nieokreœlony;44;lotniczy ekspresowy;woreczek foliowy;ma³a firma;K00898;artyku³y biurowe;papier;Array® Memo Cubes;799.75;18.13;0.07;0.36;7.14;130.585
1417;PL-2011-010277;2017-04-07;œredni;36;lotniczy standardowy;ma³e pude³ko;korporacja;K01413;urz¹dzenia techniczne;telefony;g520;7507.22;230.965;0;0.59;18.41;1897.875
1450;PL-2011-010464;2017-08-10;krytyczny;41;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K00491;artyku³y biurowe;papier;Xerox 1897;759.5;17.43;0.01;0.36;21.245;-241.745
151;PL-2011-000962;2017-05-05;niski;48;lotniczy standardowy;ma³e pude³ko;ma³a firma;K02382;artyku³y biurowe;segregatory;GBC Therma-A-Bind 250T Electric Binding System;20689.725;430.465;0.06;0.37;69.965;4928.65275
152;PL-2011-000962;2017-05-05;niski;68;l¹dowy;kontener;ma³a firma;K02382;artyku³y biurowe;przyrz¹dy;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;16274.475;240.835;0.08;0.41;210;-3744.02
1529;PL-2011-011013;2017-04-17;wysoki;2;lotniczy standardowy;ma³e pude³ko;korporacja;K02867;urz¹dzenia techniczne;telefony;M70;794.08;440.965;0.01;0.59;31.465;-2039.268
1539;PL-2011-011077;2017-03-20;niski;30;l¹dowy;wielkie pud³o;osoba fizyczna;K00640;meble;szafki;Rush Hierlooms Collection Rich Wood Bookcases;16170.175;563.43;0.06;0.72;122.57;-803.88
1552;PL-2011-011206;2017-12-28;niski;48;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01193;urz¹dzenia techniczne;akcesoria komputerowe;Zoom V.92 USB External Faxmodem;8306.62;174.965;0.09;0.41;69.965;-59.605
1553;PL-2011-011206;2017-12-28;niski;11;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01193;artyku³y biurowe;segregatory;Lock-Up Easel 'Spel-Binder';1140.055;99.855;0.03;0.38;5.215;138.6945
1595;PL-2011-011527;2017-07-02;œredni;54;lotniczy standardowy;ma³e opakowanie;biuro w domu;K00349;meble;wyposa¿enie wnêtrza;"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box";19444.6;347.305;0.04;0.35;31.465;6708.36495
1617;PL-2011-011712;2017-04-26;niski;9;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K02491;artyku³y biurowe;akcesoria piœmiennicze;Newell 336;136.36;14.98;0.06;0.56;3.29;1.295
1692;PL-2011-012224;2017-12-12;wysoki;4;l¹dowy;wielkie pud³o;osoba fizyczna;K01745;meble;sto³y;Bevis 36 x 72 Conference Tables;2120.37;435.715;0.04;0.63;181.79;-866.430495
1693;PL-2011-012224;2017-12-12;wysoki;54;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K01745;urz¹dzenia techniczne;telefony;Accessory17;5491.5;125.965;0.1;0.82;17.5;-970.23234
1739;PL-2011-012480;2017-07-07;œredni;10;l¹dowy;wielkie pud³o;ma³a firma;K03079;meble;szafki;O'Sullivan Cherrywood Estates Traditional Barrister Bookcase;5193.16;481.18;0;0.78;112.63;-711.445
18011;PL-2011-085857;2017-01-19;niski;10;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K00259;artyku³y biurowe;akcesoria piœmiennicze;Newell 340;92.33;10.08;0.09;0.56;2.45;20.1362
18012;PL-2011-085866;2017-06-03;nieokreœlony;16;lotniczy standardowy;ma³e opakowanie;korporacja;K01737;meble;wyposa¿enie wnêtrza;Advantus Employee of the Month Certificate Frame, 11 x 13-1/2;1581.405;108.255;0.09;0.44;13.72;-456.484
18013;PL-2011-085866;2017-06-03;nieokreœlony;11;lotniczy ekspresowy;woreczek foliowy;korporacja;K01737;artyku³y biurowe;akcesoria piœmiennicze;Newell 308;70.84;5.88;0.03;0.6;2.45;-372.4735
18016;PL-2011-085895;2017-04-16;wysoki;9;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01916;urz¹dzenia techniczne;telefony;SC7868i;3540.04;440.965;0.01;0.55;31.465;-159.152
18032;PL-2011-086041;2017-06-17;nieokreœlony;9;lotniczy standardowy;ma³e pude³ko;korporacja;K00317;meble;wyposa¿enie wnêtrza;Eldon® Expressions™ Wood Desk Accessories, Oak;232.925;25.83;0.09;0.56;18.235;-95.06
18033;PL-2011-086041;2017-06-17;nieokreœlony;17;lotniczy standardowy;ma³e pude³ko;korporacja;K00317;artyku³y biurowe;papier;Xerox 193;362.215;20.93;0.04;0.36;18.025;-183.204
18034;PL-2011-086041;2017-06-17;nieokreœlony;12;lotniczy standardowy;ma³e pude³ko;korporacja;K00317;artyku³y biurowe;teczki;Decoflex Hanging Personal Folder File, Blue;672.63;53.97;0.04;0.58;37.38;-419.776
18041;PL-2011-086086;2017-09-28;wysoki;1;lotniczy standardowy;ma³e pude³ko;ma³a firma;K02968;artyku³y biurowe;przyrz¹dy;Hoover WindTunnel™ Plus Canister Vacuum;1207.045;1271.375;0.06;0.57;69.965;126.57435
18046;PL-2011-086118;2017-05-16;wysoki;9;lotniczy standardowy;ma³e pude³ko;korporacja;K02610;artyku³y biurowe;segregatory;3M Organizer Strips;172.34;18.9;0.09;0.37;27.23;-476.882
18047;PL-2011-086122;2017-01-05;nieokreœlony;6;lotniczy standardowy;woreczek foliowy;biuro w domu;K01085;artyku³y biurowe;papier;"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";165.13;26.74;0.05;0.36;20.405;-140.9632
18054;PL-2011-086153;2017-03-25;krytyczny;5;lotniczy standardowy;ma³e pude³ko;ma³a firma;K00880;artyku³y biurowe;koperty;Staples Standard Envelopes;94.57;19.88;0.07;0.38;4.865;65.2533
18055;PL-2011-086153;2017-03-25;krytyczny;1;lotniczy standardowy;ma³e pude³ko;ma³a firma;K00880;artyku³y biurowe;papier;Xerox 1964;96.845;79.94;0.06;0.39;40.39;-109.34
18061;PL-2011-086181;2017-06-13;niski;6;lotniczy standardowy;woreczek foliowy;ma³a firma;K01505;urz¹dzenia techniczne;telefony;Accessory4;1627.01;300.965;0;0.85;3.465;-483.1288
18064;PL-2011-086192;2017-12-18;œredni;14;l¹dowy;wielkie pud³o;korporacja;K00555;meble;sto³y;Bevis 36 x 72 Conference Tables;5977.44;435.715;0.08;0.63;181.79;-875.665
18070;PL-2011-086227;2017-02-05;œredni;10;l¹dowy;kontener;ma³a firma;K02803;urz¹dzenia techniczne;urz¹dzenia biurowe;Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers;13695.57;1753.43;0.07;0.38;98.49;9449.9433
18071;PL-2011-086227;2017-02-05;œredni;1;lotniczy standardowy;ma³e pude³ko;ma³a firma;K02803;artyku³y biurowe;teczki;Hot File® 7-Pocket, Floor Stand;630.49;624.645;0.1;0.55;69.965;-598.43
18087;PL-2011-086327;2017-09-20;krytyczny;19;lotniczy standardowy;ma³e pude³ko;biuro w domu;K03105;artyku³y biurowe;etykiety;Avery 481;210.035;10.78;0.04;0.37;3.465;48.3
18088;PL-2011-086327;2017-09-20;krytyczny;13;lotniczy standardowy;ma³e pude³ko;biuro w domu;K03105;artyku³y biurowe;papier;Xerox 1976;318.43;22.68;0.02;0.37;20.65;15.372
18089;PL-2011-086327;2017-09-20;krytyczny;12;lotniczy standardowy;ma³e pude³ko;biuro w domu;K03105;urz¹dzenia techniczne;telefony;V3682;4447.45;440.965;0.04;0.59;14.7;-826.875
18105;PL-2011-086397;2017-12-02;wysoki;19;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K01461;artyku³y biurowe;segregatory;GBC Binding covers;883.26;45.325;0.05;0.4;17.43;469.588875
18106;PL-2011-086411;2017-11-21;wysoki;15;lotniczy standardowy;ma³e opakowanie;ma³a firma;K01107;artyku³y biurowe;no¿yczki i linijki;Acme® Forged Steel Scissors with Black Enamel Handles;505.155;32.585;0.01;0.56;13.93;7.63
18130;PL-2011-086528;2017-02-12;œredni;1;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02553;artyku³y biurowe;segregatory;GBC ProClick Spines for 32-Hole Punch;67.62;43.855;0.03;0.38;25.095;-71.12175
18131;PL-2011-086535;2017-05-22;œredni;5;l¹dowy;kontener;biuro w domu;K01257;urz¹dzenia techniczne;urz¹dzenia biurowe;Hewlett-Packard Deskjet 5550 Color Inkjet Printer;2115.225;405.965;0.01;0.4;196.49;-575.3832
18133;PL-2011-086546;2017-06-14;nieokreœlony;4;lotniczy standardowy;woreczek foliowy;korporacja;K02979;artyku³y biurowe;akcesoria piœmiennicze;Avery Hi-Liter® Smear-Safe Highlighters;83.615;20.44;0.01;0.49;2.905;56.322
18141;PL-2011-086599;2017-09-30;nieokreœlony;13;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01840;artyku³y biurowe;segregatory;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";1872.78;143.43;0.07;0.36;10.465;1292.2182
18142;PL-2011-086611;2017-07-26;nieokreœlony;3;lotniczy standardowy;ma³e pude³ko;korporacja;K02264;artyku³y biurowe;przyrz¹dy;Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection;2022.125;726.18;0.09;0.55;3.465;1259.405
18147;PL-2011-086633;2017-12-16;krytyczny;10;lotniczy ekspresowy;œrednie pude³ko;ma³a firma;K02677;meble;wyposa¿enie wnêtrza;Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting;1467.445;144.62;0.03;0.76;205.31;-114.856
18148;PL-2011-086633;2017-12-16;krytyczny;5;lotniczy standardowy;woreczek foliowy;ma³a firma;K02677;artyku³y biurowe;papier;Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”;126;24.08;0;0.39;7;-54.635
18150;PL-2011-086646;2017-09-20;œredni;21;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K01679;meble;wyposa¿enie wnêtrza;DAX Wood Document Frame.;968.24;48.055;0.07;0.54;23.975;-79.52
18151;PL-2011-086655;2017-05-05;niski;12;lotniczy standardowy;ma³e pude³ko;ma³a firma;K02379;artyku³y biurowe;segregatory;GBC Therma-A-Bind 250T Electric Binding System;5172.44;430.465;0.06;0.37;69.965;3568.9836
18152;PL-2011-086655;2017-05-05;niski;17;l¹dowy;kontener;ma³a firma;K02380;artyku³y biurowe;przyrz¹dy;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;4068.61;240.835;0.08;0.41;210;-3744.02
18159;PL-2011-086687;2017-04-19;niski;10;lotniczy standardowy;woreczek foliowy;korporacja;K01933;artyku³y biurowe;spinacze i zszywki;OIC Colored Binder Clips, Assorted Sizes;121.66;12.53;0.06;0.36;5.705;49
18161;PL-2011-086694;2017-11-25;nieokreœlony;14;lotniczy standardowy;ma³e pude³ko;ma³a firma;K00129;artyku³y biurowe;koperty;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";760.305;55.09;0.07;0.4;4.865;524.61045
18164;PL-2011-086258;2017-01-05;wysoki;2;lotniczy standardowy;ma³e opakowanie;osoba fizyczna;K02206;urz¹dzenia techniczne;akcesoria komputerowe;Memorex 4.7GB DVD+RW, 3/Pack;193.375;99.68;0.03;0.4;6.965;-123.5164
18165;PL-2011-086258;2017-01-05;wysoki;3;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K02206;urz¹dzenia techniczne;telefony;3285;1929.27;720.965;0.01;0.59;20.965;-262.0926
18166;PL-2011-086592;2017-08-31;œredni;15;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K02923;artyku³y biurowe;segregatory;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;349.125;22.295;0;0.38;18.165;-95.0222
18169;PL-2011-086545;2017-02-26;krytyczny;6;lotniczy standardowy;ma³e pude³ko;korporacja;K02979;artyku³y biurowe;segregatory;Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;121.555;18.69;0.02;0.38;10.465;18.53425
18170;PL-2011-086545;2017-02-26;krytyczny;6;lotniczy standardowy;ma³e pude³ko;korporacja;K02979;artyku³y biurowe;segregatory;"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue";866.355;143.43;0.03;0.37;26.145;597.78495
18181;PL-2011-086837;2017-04-08;krytyczny;7;lotniczy standardowy;ma³e pude³ko;ma³a firma;K00015;artyku³y biurowe;koperty;Grip Seal Envelopes;117.145;15.47;0;0.38;17.465;-209.37
18184;PL-2011-086869;2017-06-19;nieokreœlony;1;lotniczy standardowy;œrednie pude³ko;korporacja;K00796;artyku³y biurowe;przyrz¹dy;Holmes Odor Grabber;54.215;50.47;0.1;0.52;23.625;-70.364
18197;PL-2011-086951;2017-07-04;wysoki;12;lotniczy standardowy;du¿e pude³ko;korporacja;K02393;meble;wyposa¿enie wnêtrza;Eldon Antistatic Chair Mats for Low to Medium Pile Carpets;4209.31;368.515;0.06;0.79;35.42;-157.535
18198;PL-2011-086927;2017-09-12;krytyczny;15;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02896;artyku³y biurowe;papier;Xerox 1973;1297.17;79.94;0;0.39;59.22;-293.125
18199;PL-2011-086959;2017-05-12;œredni;1;lotniczy standardowy;woreczek foliowy;korporacja;K01826;artyku³y biurowe;papier;"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book";37.275;32.445;0;0.38;15.365;-26.635
18211;PL-2011-087016;2017-12-20;wysoki;18;l¹dowy;wielkie pud³o;ma³a firma;K01124;meble;szafki;Rush Hierlooms Collection Rich Wood Bookcases;9285.57;563.43;0.09;0.72;122.57;-804.755
18212;PL-2011-087016;2017-12-20;wysoki;22;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01123;urz¹dzenia techniczne;telefony;5165;11005.96;615.965;0.09;0.59;17.465;7594.1124
18217;PL-2011-087033;2017-12-05;œredni;15;lotniczy ekspresowy;du¿e pude³ko;biuro w domu;K02507;urz¹dzenia techniczne;kopiarki i faksy;Canon PC1060 Personal Laser Copier;35630.035;2449.965;0.06;0.41;85.715;24584.72415
18218;PL-2011-087033;2017-12-05;œredni;6;l¹dowy;kontener;biuro w domu;K02522;urz¹dzenia techniczne;urz¹dzenia biurowe;Okidata ML395C Color Dot Matrix Printer;25560.675;4760.49;0.04;0.59;51.45;9236.535
18219;PL-2011-087033;2017-12-05;œredni;1;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02506;artyku³y biurowe;papier;Xerox 1984;37.52;22.68;0.02;0.36;30.59;-23.9225
18220;PL-2011-087033;2017-12-05;œredni;11;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02516;artyku³y biurowe;teczki;Advantus Rolling Storage Box;667.975;60.025;0.02;0.58;17.36;127.7325
18221;PL-2011-087033;2017-12-05;œredni;12;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02520;artyku³y biurowe;papier;Xerox 1979;1297.38;108.43;0.07;0.4;30.59;895.1922
18244;PL-2011-087193;2017-05-07;wysoki;9;lotniczy standardowy;ma³e pude³ko;korporacja;K01725;urz¹dzenia techniczne;telefony;Accessory35;915.46;125.965;0.05;0.55;3.85;522.081
18251;PL-2011-087234;2017-08-19;nieokreœlony;13;lotniczy standardowy;ma³e opakowanie;biuro w domu;K02052;urz¹dzenia techniczne;akcesoria komputerowe;Memorex 4.7GB DVD-RAM, 3/Pack;1344.77;111.23;0.07;0.42;6.965;927.8913
18252;PL-2011-087234;2017-08-19;nieokreœlony;5;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02052;artyku³y biurowe;koperty;Wausau Papers Astrobrights® Colored Envelopes;110.74;20.93;0;0.36;8.75;33.4628
18253;PL-2011-087234;2017-08-19;nieokreœlony;19;lotniczy ekspresowy;ma³e pude³ko;biuro w domu;K02052;urz¹dzenia techniczne;telefony;Accessory35;1978.76;125.965;0.1;0.55;3.85;1365.3444
18259;PL-2011-087272;2017-03-06;nieokreœlony;3;l¹dowy;kontener;ma³a firma;K03327;meble;krzes³a;Hon Comfortask® Task/Swivel Chairs;1246.49;398.93;0.06;0.69;105;-445.55
18260;PL-2011-087272;2017-03-06;nieokreœlony;4;lotniczy standardowy;ma³e pude³ko;ma³a firma;K03327;artyku³y biurowe;papier;Xerox 204;94.78;22.68;0.05;0.37;24.01;-184.695
18261;PL-2011-087277;2017-05-04;krytyczny;14;lotniczy standardowy;du¿e pude³ko;korporacja;K00335;meble;krzes³a;SAFCO Arco Folding Chair;13388.62;966.7;0.06;NA;85.715;9238.1478
18262;PL-2011-087277;2017-05-04;krytyczny;1;lotniczy standardowy;ma³e pude³ko;korporacja;K00335;meble;wyposa¿enie wnêtrza;Eldon® 200 Class™ Desk Accessories, Burgundy;29.855;21.98;0.09;0.43;18.515;-18.2
18265;PL-2011-087297;2017-05-07;wysoki;17;lotniczy standardowy;ma³e pude³ko;ma³a firma;K03248;artyku³y biurowe;segregatory;Wilson Jones Suede Grain Vinyl Binders;164.92;9.73;0.07;0.36;5.215;-1191.85885
18274;PL-2011-087342;2017-12-14;niski;1;lotniczy standardowy;œrednie pude³ko;ma³a firma;K01644;meble;wyposa¿enie wnêtrza;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";352.765;376.355;0.09;0.65;20.335;243.40785
18275;PL-2011-087345;2017-03-25;niski;12;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01699;artyku³y biurowe;segregatory;Ibico Presentation Index for Binding Systems;173.04;13.93;0.05;0.38;18.41;-533.83575
18276;PL-2011-087345;2017-03-25;niski;2;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01699;artyku³y biurowe;papier;Xerox 207;50.015;22.68;0.01;0.37;18.9;-65.975
