Nr wiersza;Nr zamówienia;Data zamówienia;Priorytet zamówienia;Wielkoœæ zamówienia;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Nr klienta;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Cena jednostkowa;Rabat procentowy;Mar¿a podstawowa;Koszt dostawy;Zysk
1127;PL-2014-008257;2020-03-22;niski;5;l¹dowy;kontener;osoba fizyczna;K00949;urz¹dzenia techniczne;urz¹dzenia biurowe;Epson DFX5000+ Dot Matrix Printer;26201.315;5253.395;0.05;0.57;103.95;-8964.63225
1129;PL-2014-008257;2020-03-22;niski;5;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K00949;artyku³y biurowe;akcesoria piœmiennicze;Newell 320;79.695;14.98;0.03;0.58;5.6;-21.7
1146;PL-2014-008353;2020-05-15;œredni;44;lotniczy standardowy;ma³e opakowanie;osoba fizyczna;K00491;urz¹dzenia techniczne;akcesoria komputerowe;Imation 3.5 IBM Formatted Diskettes, 10/Box;1299.48;29.12;0.06;0.74;8.33;-128.205
1205;PL-2014-008833;2020-05-04;niski;52;lotniczy standardowy;du¿e pude³ko;ma³a firma;K02498;artyku³y biurowe;teczki;Carina Double Wide Media Storage Towers in Natural & Black;15192.345;283.43;0;0.81;122.5;-2963.555
1288;PL-2014-009409;2020-05-05;krytyczny;16;lotniczy standardowy;ma³e pude³ko;biuro w domu;K03342;urz¹dzenia techniczne;akcesoria komputerowe;Adesso Programmable 142-Key Keyboard;7992.425;533.68;0.1;0.79;14;-1367.695
1293;PL-2014-009476;2020-05-25;nieokreœlony;13;lotniczy ekspresowy;ma³e pude³ko;korporacja;K02867;artyku³y biurowe;segregatory;"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""";750.925;55.965;0.08;0.37;46.13;-233.0475
1358;PL-2014-009894;2020-03-18;wysoki;16;l¹dowy;kontener;ma³a firma;K01193;meble;krzes³a;Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms;18913.125;1245.93;0.08;0.64;206.22;363.405
1443;PL-2014-010435;2020-08-10;œredni;92;lotniczy standardowy;ma³e opakowanie;korporacja;K01280;artyku³y biurowe;akcesoria piœmiennicze;Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black;3765.09;40.81;0.05;0.58;27.825;-567.84
1455;PL-2014-010470;2020-05-04;krytyczny;46;lotniczy standardowy;ma³e pude³ko;korporacja;K01959;meble;wyposa¿enie wnêtrza;Eldon® Expressions™ Wood Desk Accessories, Oak;1136.1;25.83;0.1;0.56;18.235;-441.2009
1467;PL-2014-010567;2020-03-29;wysoki;10;l¹dowy;wielkie pud³o;biuro w domu;K03121;meble;sto³y;Bevis Round Conference Table Top & Single Column Base;3888.535;512.19;0.09;0.65;153.125;-512.015
1515;PL-2014-010949;2020-03-30;œredni;46;l¹dowy;wielkie pud³o;ma³a firma;K00272;urz¹dzenia techniczne;urz¹dzenia biurowe;Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer;12072.41;283.395;0.1;0.4;105.21;592.74565
